Country,Life Expectancy,Adult Mortality,Infant Deaths,Population,Life Expectancy at Birth,Infant Mortality Rate,Medical Doctors,Under-5 Mortality Rate,GDP (billions of US$),GDP per Capita (US$),Current Health Expenditure (% of GDP),Death by Meningitis,Death by Neoplasms,'Death by Fire, Heat, and Hot Substances',Death by Malaria,Death by Drowning,Death by Interpersonal Violence,Death by HIV/AIDS,Death by Drug Use,Death by Tuberculosis,Death by Road Injuries,Death by Maternal Disorders,Death by Lower Respiratory Infections,Death by Neonatal Disorders,Death by Alcohol Use,Death by Forces of Nature,Death by Diarrheal Diseases
Romania,75,133,2,19815481,74.82,7.64 [7.43-7.84],,9.13 [8.88-9.38],177.731,21546.568,4.95,75,51695,458,0,677,366,151,150,1080,2240,33,6259,570,518,1,91
RussianFederation,75,222,13,1449687
Rwanda,66.1,227,11,11629553,67.69,30.88 [22.1-42.27],1.13,41.49 [28.17-61.19],8.542,1815.604,6.62,1064,5998,216,3012,240,440,3983,15,4126,2269,845,5871,5970,107,2,4153
Samoa,74,125,0,193759,70.04,14.5 [11.29-18.28],,16.87 [13.12-21.44],0.788,5088.86,5.79,3,144,2,0,13,12,10,1,14,31,1,63,19,2,0,12
SaoTomeandPrincipe,67.5,19,0,195553
Senegal,66.7,188,19,14976994,67.2,36.4 [33.25-39.72],2.07,52.78 [46.39-59.85],17.777,2971.347,4.38,1730,7290,286,6706,282,175,2438,17,3984,1678,1865,7382,10398,81,0,7772
Serbia,75.6,121,1,795383,75.21,5.47 [5.22-5.72],24.6,6.28 [6.01-6.57],39.656,14932.417,8.81,29,28512,108,0,108,213,91,60,140,770,9,1578,246,393,2,43
Seychelles,73.2,168,0,93419,73.2,12.7 [10.84-14.86],,14.76 [12.6-17.3],1.416,24812.989,4.59,3,158,2,0,12,5,6,1,4,16,1,74,9,1,0,5
SierraLeone,51,413,22,723725
Slovenia,88,74,0,263531,80.47,2.01 [1.86-2.18],28.15,2.5 [2.32-2.71],43.112,31646.714,8.5,6,6051,12,0,21,19,3,26,13,139,2,601,21,218,1,6
SolomonIslands,69.2,177,0,587482
SouthAfrica,62.9,328,42,5511976.68
SouthSudan,57.3,332,26,11882136
Spain,82.8,56,1,46447697,82.33,2.74 [2.69-2.8],32.17,3.3 [3.24-3.37],1195.721,34938.577,9.13,188,121607,239,0,442,324,668,693,387,2459,17,13125,615,409,6,1183
SriLanka,74.9,138,3,2966
Sudan,64.1,225,58,3864783,67.94,45.21 [38.62-53.03],4.07,65.91 [54.32-79.72],64.534,4438.092,7.27,823,15128,1223,2275,1473,1559,5005,314,1328,7148,2652,8254,25413,92,20,10071
Suriname,71.6,176,0,55328,72.6,18.05 [13.28-24.43],10.46,20.22 [14.87-27.6],5.126,16962.525,6.22,7,634,11,0,27,49,112,3,10,97,11,153,155,15,0,39
Swaziland,58.9,373,2,131911
Sweden,82.4,53,0,9799186,81.75,2.33 [2.24-2.43],42.86,2.87 [2.76-2.99],505.104,48857.878,10.8,30,25078,90,0,99,131,25,414,78,377,3,2728,139,348,0,778
Switzerland,83.4,49,0,8282396,82.61,3.78 [3.64-3.93],41.9,4.31 [4.15-4.47],702.163,66395.113,11.01,27,19331,38,0,53,55,32,185,36,326,5,1815,175,263,19,269
SyrianArabRepublic,64.5,293,6,18734987
Tajikistan,69.7,161,10,8548651,68.66,32.86 [26.55-40.87],,37.75 [30.11-47.75],7.857,2958.106,6.91,137,4796,254,0,613,203,90,20,755,640,51,3640,3007,135,12,926
Thailand,74.9,148,8,686576,77.41,9.27 [8.14-10.97],4.65,10.8 [9.5-12.75],401.142,15822.371,3.67,1021,99068,657,7,4613,4167,21103,368,7506,19379,322,26340,2302,615,4,5664
